# Polarization of Light 'Brewsters' Data File Thu, Jan 25, 2018 10:09 AM
# Sensor Position (Degrees)	Light Intensity (Volts)
181.63333	0.80891
181.61667	0.83163
181.58333	0.84307
181.56667	0.86643
181.53333	0.87529
181.51667	0.87384
181.50000	0.88383
181.48333	0.88463
181.48333	0.85773
181.46667	0.85354
181.45000	0.84838
181.43333	0.85273
181.41667	0.86514
181.40000	0.87561
181.38333	0.88657
181.36667	0.89672
181.31667	0.90751
181.28333	0.89317
181.23333	0.89688
181.21667	0.89478
181.20000	0.89994
181.16667	0.90703
181.16667	0.91863
181.15000	0.91895
181.13333	0.90977
181.11667	0.90864
181.10000	0.90155
181.08333	0.89140
181.06667	0.88850
181.06667	0.91009
181.05000	0.92523
181.03333	0.94054
181.03333	0.96229
181.01667	0.97357
181.01667	0.98194
181.00000	0.97808
181.00000	0.98194
181.00000	0.98726
181.00000	0.99016
181.00000	0.99097
181.00000	0.94038
181.00000	0.04878
181.00000	0.00126
181.00000	-0.00148
181.00000	-0.00132
181.00000	0.00077
181.00000	0.00045
181.00000	0.00496
180.98333	0.06457
180.98333	0.72723
180.98333	0.84242
180.98333	0.94279
180.98333	0.96664
180.98333	0.98710
180.98333	0.99064
180.98333	0.99886
180.98333	0.98533
180.98333	0.93522
180.98333	0.92330
180.98333	0.93168
180.98333	0.92974
180.98333	0.78893
180.98333	0.18541
180.98333	0.06183
180.98333	0.06635
180.98333	0.15802
180.98333	0.87303
180.98333	0.97034
180.98333	1.00063
180.98333	0.99387
181.00000	0.96648
181.00000	0.94537
181.01667	0.88592
181.01667	0.81133
181.03333	0.71160
181.05000	0.73802
181.06667	0.72272
181.08333	0.75365
181.13333	0.80746
181.18333	0.84226
181.23333	0.86594
181.28333	0.88431
181.30000	0.87481
181.31667	0.88399
181.31667	0.87803
181.33333	0.90155
181.33333	0.92378
181.31667	0.86159
181.31667	0.58690
181.31667	0.50457
181.33333	0.25001
181.36667	0.02929
181.41667	0.01253
181.45000	0.00947
181.46667	0.03283
181.46667	0.28514
181.48333	0.72433
181.50000	0.76734
181.51667	0.75155
181.53333	0.73303
181.55000	0.67197
181.56667	0.63942
181.60000	0.60510
181.65000	0.45591
181.70000	0.01882
181.71667	0.00190
181.75000	0.00883
181.83333	0.01560
181.95000	0.05330
182.03333	0.01479
182.05000	0.00206
182.05000	-0.00148
182.05000	0.00045
182.05000	-0.00164
182.05000	0.00190
182.05000	-0.00197
182.05000	-0.00019
182.05000	-0.00164
182.05000	0.00077
182.05000	-0.00116
182.05000	-0.00213
182.05000	0.00174
182.05000	0.00029
182.05000	-0.00068
182.06667	0.00238
182.06667	0.00142
182.06667	0.00174
182.06667	-0.00019
182.06667	0.00077
182.06667	-0.00100
182.06667	0.00158
182.08333	0.01946
182.11667	0.10566
182.18333	0.07537
182.21667	0.02220
182.23333	0.12870
182.23333	0.60575
182.25000	0.72207
182.25000	0.78813
182.26667	0.80746
182.26667	0.81342
182.28333	0.81342
182.28333	0.80730
182.30000	0.79602
182.31667	0.62573
182.35000	0.62460
182.46667	0.72787
182.61667	0.73850
182.70000	0.73142
182.73333	0.69903
182.76667	0.66455
182.78333	0.67100
182.81667	0.65489
182.85000	0.57659
182.86667	0.47460
182.90000	0.15625
182.91667	0.05297
182.93333	0.04363
182.95000	0.03944
182.96667	0.02736
183.00000	0.01672
183.01667	0.00722
183.05000	0.00287
183.06667	0.00512
183.08333	0.01270
183.10000	0.01801
183.11667	0.03364
183.13333	0.04121
183.15000	0.04895
183.16667	0.04637
183.18333	0.04073
183.21667	0.03799
183.25000	0.03203
183.28333	0.03654
