Polarization of Light 'Brewsters' Data File Tue, Jan 23, 2018 10:59 AM
Sensor Position (Degrees)	Light Intensity (Volts)
188.38333	1.13983
188.38333	1.12662
188.38333	1.12807
188.38333	1.11325
188.38333	1.10987
188.38333	1.10906
188.38333	1.10890
188.38333	1.10874
188.38333	1.10552
188.40000	1.10310
188.40000	1.09327
188.46667	1.10503
188.51667	1.11341
188.56667	1.12292
188.56667	1.11873
188.56667	1.14870
188.56667	1.14048
188.58333	1.14177
188.58333	1.13162
188.60000	1.12082
188.61667	1.09875
188.63333	1.08232
188.65000	1.08828
188.65000	1.09569
188.65000	1.08844
188.65000	1.08989
188.66667	1.12098
188.66667	1.11583
188.66667	1.12002
188.66667	1.11180
188.66667	1.10471
188.66667	1.10246
188.66667	1.09746
188.66667	1.10342
188.66667	1.10197
188.66667	1.10407
188.68333	1.10487
188.68333	1.09907
188.68333	1.09795
188.70000	1.09247
188.70000	1.07974
188.71667	1.06701
188.71667	1.05171
188.71667	1.05364
188.71667	1.06653
188.71667	1.06927
188.71667	1.07168
188.71667	1.06846
188.71667	1.06782
188.71667	1.06669
188.71667	1.06605
188.71667	1.05992
188.71667	1.06685
188.71667	1.07346
188.71667	1.07893
188.71667	1.07152
188.71667	1.06315
188.71667	1.07813
188.71667	1.07652
188.75000	1.08022
188.85000	1.16207
188.93333	1.14161
188.96667	1.15143
189.00000	1.18350
189.01667	1.17786
189.01667	1.18720
189.01667	1.18205
189.01667	1.17995
189.01667	1.17045
189.03333	1.15611
189.05000	1.15192
189.06667	1.13645
189.08333	1.12840
189.10000	1.13726
189.11667	1.13500
189.13333	1.14596
189.15000	1.15369
189.15000	1.14982
189.15000	1.14773
189.15000	1.14628
189.15000	1.13822
189.15000	1.14273
189.15000	1.12292
189.15000	1.12791
189.16667	1.13484
189.16667	1.14483
189.16667	1.14596
189.18333	1.13855
189.18333	1.14290
189.20000	1.13758
189.23333	1.14902
189.26667	1.19413
189.30000	1.18591
189.33333	1.18092
189.33333	1.17190
189.33333	1.17995
189.33333	1.17657
189.35000	1.17383
189.36667	1.16980
189.38333	1.15514
189.40000	1.14692
189.43333	1.12743
189.46667	1.10052
189.48333	1.06766
189.50000	1.04462
189.51667	1.01981
189.51667	0.98871
189.53333	0.95649
189.55000	0.89639
189.55000	0.85660
189.56667	0.81439
189.56667	0.74479
189.58333	0.69227
189.60000	0.70886
189.60000	0.71305
189.60000	0.70499
189.60000	0.70451
189.61667	0.69694
189.61667	0.67648
189.61667	0.66230
189.63333	0.66004
189.63333	0.66423
189.63333	0.65457
189.63333	0.66826
189.63333	0.78652
189.65000	0.79586
189.65000	0.86772
189.68333	0.92507
189.71667	1.03447
189.76667	1.11680
189.78333	1.15740
189.78333	1.16239
189.78333	1.16030
189.78333	1.16448
189.78333	1.16191
189.78333	1.15997
189.80000	1.16336
189.80000	1.15433
189.80000	1.16207
189.80000	1.15740
189.80000	1.16287
189.80000	1.15256
189.80000	1.15740
189.81667	1.14467
189.85000	1.12292
189.86667	1.11164
189.88333	1.12437
189.88333	1.11680
189.88333	1.12437
189.88333	1.11228
189.88333	1.11647
189.88333	1.11309
189.88333	1.11100
189.88333	1.09134
189.88333	1.07797
189.88333	1.08409
189.88333	1.08490
189.88333	1.08103
189.88333	1.08618
189.90000	1.08876
189.90000	1.09311
189.90000	1.09198
189.90000	1.08683
189.90000	1.09086
189.90000	1.08844
189.90000	1.06975
189.90000	1.07877
189.90000	1.07942
189.91667	1.07346
189.93333	1.06701
189.95000	1.03608
190.00000	1.01981
190.01667	1.02931
190.03333	1.02609
190.05000	1.08763
190.06667	1.09827
190.08333	1.08296
190.10000	1.07313
190.11667	1.04317
190.13333	1.02351
190.15000	1.02867
190.15000	1.05316
190.16667	1.04107
190.18333	1.01803
190.18333	0.99419
190.20000	0.99064
190.20000	1.00498
190.20000	1.04671
190.20000	1.06766
190.23333	1.04961
190.25000	1.05541
190.28333	1.09972
190.30000	1.12727
190.30000	1.14209
190.31667	1.15272
190.33333	1.15981
190.36667	1.15611
190.38333	1.15514
190.40000	1.15095
190.40000	1.16819
190.41667	1.18462
190.41667	1.20460
190.43333	1.21217
190.43333	1.21427
190.45000	1.21411
190.45000	1.20380
190.46667	1.22168
190.50000	1.21765
190.51667	1.22120
190.53333	1.22216
190.53333	1.22474
190.55000	1.22683
190.56667	1.22442
190.56667	1.22458
190.58333	1.21797
190.60000	1.22329
190.61667	1.21813
190.65000	1.20460
190.66667	1.19139
190.70000	1.17770
190.71667	1.16996
190.73333	1.16046
190.73333	1.13774
190.75000	1.13661
